00400020 / 20c60008;
00400024 / 20c6fffc; 
00400028 / 1cc0fffe; 
0040002c / ace50000; 

#Address		HEX			Binary								Assembly
#0x00400020	20c60008	00100000110001100000000000001000	ADDI r6, r6, 8
#0x00400024	20c6fffc	00100000110001101111111111111100	ADDI r6, r6, -4
#0x00400028	1cc0fffe	00011100110000001111111111111110	BGTZ r6, -2
#0x00400030	ace50000	10101100111001010000000000000000	SW r5, 0(r7)
#--------------------TEST 1---------------------
#00400020 / 8ce40000;
#00400024 / 20871000; 
#00400028 / 20430004; 
#0040002c / 00a42821; 
#00400030 / 20440024;
#00000000 / deadbeef;

#0x00400020	8ce40000	10001100111001000000000000000000	LW r4, 0(r7)
#0x00400024	20071000	00100000100001110001000000000000	ADDI r7, r4, 4096
#0x00400028	20430004	00100000010000110000000000000100	ADDI r3, r2, 4
#0x0040002c	00a42821	00000000101001000010100000100001	ADDU r5, r5, r4
#0x00400030	20440024	00100000010001000000000000100100	ADDI r4, r2, 36

#--------------------TEST 2---------------------
#00400020 / 20071000;
#00400024 / 00e70c00; 
#00400028 / 00203020;

#0x00400020	20071000	00100000000001110001000000000000	ADDI r7, r0, 4096
#0x00400024	00e70c00	00000000111001110000110000000000	SLL r1, r7, 16
#0x00400028	00203020	00000000001000000011000000100000	ADD r6, r1, r0

#------------------TEST 3---------------------
#00400020 / 1cc00003;
#00400024 / 20e71000; 
#00400028 / 20430004;

#0x00400020	1cc00003	00011100110000000000000000000011	BGTZ r6, 3
#0x00400024	20e71000	00100000111001110001000000000000	ADDI r7, r7, 4096
#0x00400028	20430004	00100000010000110000000000000100	ADDI r3, r2, 4


