00400020 / 00002820;
00400024 / 20071000; 
00400028 / 20440024; 
0040002c / 20430004; 
00400030 / 00e03020;
00400034 / 00a42821; 


#0x00400020	00002820	00000000000000000010100000100000	ADD r5, r0, r0
#0x00400024	20071000	00100000000001110001000000000000	ADDI r7, r0, 4096
#0x00400028	20440024	00100000010001000000000000100100	ADDI r4, r2, 36
#0x00400034	20430004	00100000010000110000000000000100	ADDI r3, r2, 4
#0x0040002c	00e03020	00000000111000000011000000100000	ADD r6, r7, r0
#0x00400038	00a42821	00000000101001000010100000100001	ADDU r5, r5, r4
